Bonaventura	1 saint, 3 blessed
Carpophorus	4 saints
Caspar	4 blessed
Cassius	4 saints
Cecilia	4 saints
Chiara	1 saint, 3 blessed
Conon	4 saints
Cosmas	4 saints
Crescentian	4 saints
Cuthbert	4 saints
Domenico	1 saint, 3 blessed
Émilie	2 saints, 2 blessed
Gerald	4 saints
Giovanna	4 blessed
Guillaume	4 blessed
Guy	3 saints, 1 blessed
Hyacinth	4 saints
Innocent	2 saints, 2 blessed
Irene	4 saints
Jacques	1 saint, 3 blessed
João	2 saints, 2 blessed
Josefa	4 blessed
Lazarus	4 saints
Louise	2 saints, 2 blessed
Maddalena	1 saint, 3 blessed
Marcian	4 saints
Marco	4 blessed
Maximian	4 saints
Maximinus	4 saints
Modestus	4 saints
Nicetas	4 saints
Paphnutius	4 saints
Pelagius	4 saints
Philippa	1 saint, 3 blessed
Rose	1 saint, 3 blessed
Severus	4 saints
Simplicius	4 saints
Thecla	3 saints, 1 blessed
Theodoric	4 saints
Theodosia	4 saints
Theodotus	4 saints
Valerian	4 saints
Verónica	2 saints, 2 blessed
Achilleus	3 saints
Adalbert	2 saints, 1 blessed
Agostino	1 saint, 2 blessed
Alban	3 saints
Alberto	2 saints, 1 blessed
Alexius	1 saint, 2 blessed
Aloysius	1 saint, 2 blessed
Amadeus	1 saint, 2 blessed
Amalberga	3 saints
Amantius	3 saints
Ammon	3 saints
Ana	3 blessed
Ananias	3 saints
Andronicus	3 saints
Antoine	2 saints, 1 blessed
Aquilinus	3 saints
Arcadius	3 saints
Aredius	3 saints
Asterius	3 saints
Atto	3 saints
Aurelian	3 saints
Aventinus	3 saints
Avitus	3 saints
Bartolomé	3 blessed
Battista	1 saint, 2 blessed
Benno	2 saints, 1 blessed
Benvenuto	1 saint, 2 blessed
Bertrand	2 saints, 1 blessed
Caesarius	3 saints
Carlo	2 saints, 1 blessed
Carlos	3 blessed
Ciarán	3 saints
Claude	1 saint, 2 blessed
Constantius	2 saints, 1 blessed
Cornelius	3 saints
Crónán	3 saints
Dalmatius	3 saints
Deodatus	3 saints
Desideratus	3 saints
Deusdedit	3 saints
Dolores	3 blessed
Domitian	3 saints
Domnina	3 saints
Donatian	3 saints
Eberhard	2 saints, 1 blessed
Elena	3 blessed
Elfleda	3 saints
Elisabeth	1 saint, 2 blessed
Elisabetta	3 blessed
Eskil	2 saints, 1 blessed
Ethelwold	3 saints
Eugenia	1 saint, 2 blessed
Eulogius	3 saints
Euphrasia	3 saints
Exuperius	3 saints
Felician	3 saints
Felipe	1 saint, 2 blessed
Fernando	1 saint, 2 blessed
Fidelis	3 saints
Filippo	2 saints, 1 blessed
Flavius	3 saints
Flora	3 saints
Francesca	3 saints
Francisca	3 blessed
Fulk	3 saints
Gaius	3 saints
Giles	1 saint, 2 blessed
Godfrey	1 saint, 2 blessed
Gonzalo	3 blessed
Gregorio	2 saints, 1 blessed
Helena	3 saints
Heliodorus	3 saints
Heraclius	3 saints
Hesychius	3 saints
Hubert	3 saints
Isaac	3 saints
Isabel	2 saints, 1 blessed
Jacinto	3 blessed
Jakob	3 blessed
Jesús	1 saint, 2 blessed
Joachim	3 saints
Josaphat	1 saint, 2 blessed
Josep	2 saints, 1 blessed
Julietta	3 saints
Leonard	2 saints, 1 blessed
Liberatus	1 saint, 2 blessed
Lucia	2 saints, 1 blessed
Lucian	3 saints
Ludovico	3 blessed
Mancius	3 blessed
Marinus	2 saints, 1 blessed
Marius	3 saints
Martha	3 saints
Masiá	3 blessed
Maura	3 saints
Maurilius	3 saints
Maxima	3 saints
Mennas	3 saints
Methodius	3 saints
Montanus	3 saints
Moses	3 saints
Mykola	3 blessed
Narcissus	3 saints
Orentius	3 saints
Pamphilus	3 saints
Paola	1 saint, 2 blessed
Paolo	1 saint, 2 blessed
Papias	3 saints
Paschasius	3 saints
Pastor	3 saints
Pelagia	3 saints
Petronius	3 saints
Phocas	3 saints
Placidus	3 saints
Pontian	3 saints
Quadratus	3 saints
Quirinus	3 saints
Raynald	1 saint, 2 blessed
Regulus	3 saints
Remigius	3 saints
Restituta	2 saints, 1 blessed
Sabbas	3 saints
Sabinian	3 saints
Sacerdos	3 saints
Salvius	3 saints
Secundinus	3 saints
Serenus	3 saints
Sixtus	3 saints
Susanna	2 saints, 1 blessed
Sylvester	3 saints
Thaddeus	1 saint, 2 blessed
Theodota	3 saints
Theonas	3 saints
Theophanes	3 saints
Titus	2 saints, 1 blessed
Tomás	1 saint, 2 blessed
Vigilius	3 saints
Vincenzo	1 saint, 2 blessed
Abbo	2 saints
Abibus	2 saints
Achillas	2 saints
Adalbero	2 saints
Adalgis	2 saints
Adalsindis	2 saints
Adauctus	2 saints
Adela	2 saints
Adelaide	2 saints
Adelelmus	2 saints
Adolf	1 saint, 1 blessed
Adolphus	2 saints
Agape	2 saints
Agapitus	2 saints
Agatho	2 saints
Agricola	2 saints
Aidan	2 saints
Aigulf	2 saints
Aimo	1 saint, 1 blessed
Alain	2 blessed
Alberic	2 saints
Alessandro	1 saint, 1 blessed
Alfredo	2 blessed
Alphege	2 saints
Amabilis	2 saints
Amata	1 saint, 1 blessed
Amator	2 saints
Ambrosio	2 blessed
Amicus	2 saints
Ammonaria	2 saints
Ammonius	2 saints
Amparo	2 blessed
Amphilochius	2 saints
Anatolia	2 saints
Anatolius	2 saints
Anectus	2 saints
Anianus	2 saints
Anicetus	2 saints
Anthimus	2 saints
Antoni	1 saint, 1 blessed
Antonina	2 saints
Antonius	2 saints
Apollo	2 saints
Aquila	2 saints
Armentarius	2 saints
Arsenius	2 saints
Artemas	2 saints
Artemius	2 saints
Athenodorus	2 saints
Aubert	2 saints
Aurelius	2 saints
Auxentius	2 saints
Baldwin	2 saints
Baptista	2 blessed
Baptiste	2 saints
Barbara	2 saints
Barlaam	2 saints
Bartolomea	1 saint, 1 blessed
Bartolomeu	2 blessed
Basileus	2 saints
Basilides	2 saints
Berthold	2 saints
Bertilla	2 saints
Bertulf	2 saints
Bonitus	2 saints
Boris	2 saints
Brendan	2 saints
Broccán	2 saints
Caius	1 saint, 1 blessed
Candidus	2 saints
Canute	2 saints
Caprasius	2 saints
Carpus	2 saints
Carterius	2 saints
Carthach	2 saints
Castulus	2 saints
Castus	2 saints
Ceferino	2 blessed
Celestine	2 saints
Celsus	2 saints
Christian	1 saint, 1 blessed
Clarus	2 saints
Claudine	1 saint, 1 blessed
Constantine	2 saints
Contardo	1 saint, 1 blessed
Corrado	1 saint, 1 blessed
Crescens	2 saints
Crescentia	1 saint, 1 blessed
Crescentius	2 saints
Cyriaca	2 saints
Cyrinus	2 saints
Damian	2 saints
Damien	1 saint, 1 blessed
Dasius	2 saints
Digna	2 saints
Dionysia	2 saints
Dioscorus	2 saints
Domenica	2 blessed
Dorotheus	2 saints
Eadberht	2 saints
Ebba	2 saints
Edburga	2 saints
Elian	2 saints
Elpidius	2 saints
Engelmund	2 saints
Epicharis	2 saints
Epiphanius	2 saints
Epipodius	2 saints
Ethelbert	2 saints
Ethelburga	2 saints
Eucherius	2 saints
Eulalia	2 saints
Euphemia	2 saints
Eusebia	1 saint, 1 blessed
Eustace	2 saints
Eustochium	1 saint, 1 blessed
Eustorgius	2 saints
Eutropius	2 saints
Eutychius	2 saints
Ewald	2 saints
Faustina	2 saints
Faustinus	2 saints
Felice	1 saint, 1 blessed
Felicissimus	2 saints
Felicitas	2 saints
Finian	2 saints
Finnian	2 saints
Fintan	2 saints
Firmatus	2 saints
Firminus	2 saints
Flavia	2 saints
Florian	2 saints
Floribert	2 saints
Florus	2 saints
Fortunata	1 saint, 1 blessed
Fructuosus	2 saints
Frumentius	2 saints
Fulgentius	2 saints
Gaetano	2 saints
Gall	2 saints
Garcia	2 saints
Gaspar	1 saint, 1 blessed
Geminian	2 saints
Gemma	1 saint, 1 blessed
Genevieve	1 saint, 1 blessed
Gerold	2 saints
Giacinto	1 saint, 1 blessed
Giordano	1 saint, 1 blessed
Girolamo	2 blessed
Giuseppina	2 blessed
Glycerius	2 saints
Godfried	2 saints
Guarinus	2 saints
Guido	2 blessed
Hadelin	2 saints
Hedda	2 saints
Heinrich	2 blessed
Helen	1 saint, 1 blessed
Herbert	2 saints
Herculanus	1 saint, 1 blessed
Herman	1 saint, 1 blessed
Hermias	2 saints
Hermogenes	2 saints
Herodion	2 saints
Hervé	2 saints
Hilaria	2 saints
Hildegard	1 saint, 1 blessed
Hippolytus	2 saints
Hormisdas	2 saints
Humbert	2 blessed
Humphrey	2 blessed
Ida	1 saint, 1 blessed
Irenaeus	2 saints
Isaiah	1 saint, 1 blessed
Ivan	2 blessed
Ivo	2 saints
Jacobus	1 saint, 1 blessed
Januarius	2 saints
Jeremiah	2 saints
Joannes	2 saints
Josephine	1 saint, 1 blessed
Jozef	1 saint, 1 blessed
Jucundus	2 saints
Julien	2 blessed
Julio	1 saint, 1 blessed
Jutta	1 saint, 1 blessed
Juvenal	2 saints
Ladislaus	2 saints
Laura	1 saint, 1 blessed
Laurentia	1 saint, 1 blessed
Leonardo	2 saints
Leopold	2 saints
Leucius	2 saints
Liberalis	2 saints
Liborius	1 saint, 1 blessed
Licinius	2 saints
Ludolph	2 saints
Lupercus	2 saints
Lydia	2 saints
Macedonius	2 saints
Macrina	2 saints
Magdalene	2 saints
Manuel	2 blessed
Marcellina	1 saint, 1 blessed
Margareta	2 blessed
Mariam	2 blessed
Mateo	2 saints
Matteo	2 blessed
Maurontus	2 saints
Maxentius	2 saints
Maximilian	2 saints
Mechtildis	2 saints
Melania	2 saints
Meletius	2 saints
Mercedes	2 blessed
Mercurius	2 saints
Michel	1 saint, 1 blessed
Michele	2 blessed
Milles	2 saints
Monica	1 saint, 1 blessed
Mummolus	2 saints
Myron	2 saints
Natalia	1 saint, 1 blessed
Nerses	2 saints
Nicasius	2 saints
Nicola	1 saint, 1 blessed
Nicolaas	2 saints
Nicostratus	2 saints
Noël	1 saint, 1 blessed
Notburga	2 saints
Oliver	2 saints
Olympiades	2 saints
Onesimus	2 saints
Optatus	2 saints
Osanna	2 blessed
Osmanna	2 saints
Oswald	2 saints
Otto	1 saint, 1 blessed
Pablo	1 saint, 1 blessed
Pascual	1 saint, 1 blessed
Paternian	2 saints
Patiens	2 saints
Patroclus	2 saints
Paulo	2 saints
Pavel	2 blessed
Peregrine	2 blessed
Philemon	2 saints
Philomena	2 saints
Pilar	2 blessed
Plato	2 saints
Polycarp	2 saints
Pomposa	2 saints
Porphyrius	2 saints
Primitivus	2 saints
Primus	2 saints
Prisca	2 saints
Priscus	2 saints
Prosper	2 saints
Protasius	2 saints
Publius	2 saints
Quintian	2 saints
Rafael	2 saints
Redemptus	1 saint, 1 blessed
Regina	1 saint, 1 blessed
René	1 saint, 1 blessed
Restitutus	2 saints
Rita	1 saint, 1 blessed
Rogatian	2 saints
Rosalie	2 blessed
Rufinus	2 saints
Salvinus	2 saints
Samson	2 saints
Savina	1 saint, 1 blessed
Secunda	2 saints
Secundian	2 saints
Servusdei	2 saints
Severa	2 saints
Severianus	2 saints
Sigebert	2 saints
Sigfrid	2 saints
Stanisław	1 saint, 1 blessed
Stefano	2 blessed
Sulpicius	2 saints
Syagrius	2 saints
Symeon	1 saint, 1 blessed
Terence	1 saint, 1 blessed
Tetricus	2 saints
Thalelaeus	2 saints
Thea	2 saints
Theodard	2 saints
Theodulus	2 saints
Theofrid	2 saints
Tiburtius	2 saints
Timoteo	2 blessed
Toribio	2 saints
Turibius	2 saints
Ugolino	2 blessed
Ulrich	2 saints
Ultan	2 saints
Urbitius	2 saints
Ursula	1 saint, 1 blessed
Ursus	2 saints
Valens	2 saints
Veranus	2 saints
Viator	2 saints
